auction_date,judgment_amount,address,city,state,zip,date_added
01/03/2023,"$234,007.03",101 COLLEEN CT,AUBURNDALE,FL,33823,09/01/2022
01/03/2023,"$74,572.78",4780 BOMBER RD,BARTOW,FL,33830,10/13/2022
01/03/2023,"$202,870.05",3774 HUNTWICKE BLVD,DAVENPORT,FL,33837,10/10/2022
01/03/2023,"$112,513.25",4936 EASTON ST,LAKE WALES,FL,33859,08/09/2022
01/03/2023,"$97,676.26",2244 EAGLES HAMMOCK BLVD,MIDDLEBURG,FL,32068,10/10/2022
01/03/2023,"$311,897.77",3475 GRETCHEN DR,OCOEE,FL,34761,10/13/2022
01/03/2023,"$284,456.42",3454 LULLWATER LN,ORANGE PARK,FL,32073,10/10/2022
01/03/2023,"$23,189.09",2720 N PINE ISLAND RD,SUNRISE,FL,33322,10/10/2022
01/03/2023,"$560,679.41",579 SETTING SUN DR,WINTER GARDEN,FL,34787,10/10/2022
01/04/2023,"$141,649.26",8930 SW 19TH ST F,BOCA RATON,FL,33433,10/10/2022
01/04/2023,"$96,301.27",7647 SIERRA TER W,BOCA RATON,FL,33433-3315,10/10/2022
01/04/2023,"$775,871.89",1111 SW 18TH ST,BOCA RATON,FL,33486,10/10/2022
01/04/2023,"$1,142,594.18",4721 SABAL PALM DR,BOYNTON BEACH,FL,33436,10/10/2022
01/04/2023,"$22,493.90",510 CORAL WAY,DELRAY BEACH,FL,33445,08/11/2022
01/04/2023,"$55,898.46",23162 SW NAUTILUS BLVD,DUNNELLON,FL,34431,10/10/2022
01/04/2023,"$542,046.77",683 ARTHUR MOORE DR,GREEN COVE SPRINGS,FL,32043,10/10/2022
01/04/2023,"$114,454.73",8851 CUMBRIA CT,JACKSONVILLE,FL,32219,10/10/2022
01/04/2023,"$408,425.46",11758 152ND ST N,JUPITER,FL,33478,10/10/2022
01/04/2023,"$137,150.27",17433 86TH ST N,LOXAHATCHEE,FL,33470,10/10/2022
01/04/2023,"$129,132.16",10960 SW 75TH AVE,OCALA,FL,34476,10/13/2022
01/04/2023,"$156,374.88",5702 MERIDIAN WAY,ORLANDO,FL,32808,10/13/2022
01/04/2023,"$270,451.16",12101 KENDRA CT,ORLANDO,FL,32824,10/10/2022
01/04/2023,"$612,255.84",4105 JONQUIL CIR S,PALM BEACH GARDENS,FL,33410,10/10/2022
01/04/2023,"$248,746.56",948 CANAL CIR,SEBASTIAN,FL,32958,10/10/2022
01/04/2023,"$165,469.02",5421 7TH AVE N,ST PETERSBURG,FL,33710,08/09/2022
01/04/2023,"$928,041.75",152 WORTH CT S,WEST PALM BEACH,FL,33405,10/10/2022
01/04/2023,"$249,613.60",1643 44TH ST,WEST PALM BEACH,FL,33407,10/10/2022
01/04/2023,"$791,722.27",9273 NUGENT TRL,WEST PALM BEACH,FL,33411,10/10/2022
01/04/2023,"$215,559.81",5785 AZALEA CIR,WEST PALM BEACH,FL,33415,10/10/2022
01/05/2023,"$106,435.30",10187 MANGROVE DRIVE # 201,BOYNTON BEACH,FL,33437,10/10/2022
01/05/2023,"$130,226.24",2741 SW 2 CT,FORT LAUDERDALE,FL,33312,10/13/2022
01/05/2023,"$485,287.75",14935 83RD LN N,LOXAHATCHEE,FL,33470,10/10/2022
01/05/2023,"$16,164.80",3021 N OAKLAND FOREST DR,OAKLAND PARK,FL,33309,10/10/2022
01/05/2023,"$270,917.15",351 SHORE DR E,OLDSMAR,FL,34677,08/02/2022
01/05/2023,"$227,409.85",2787 L B MCLEOD RD UNIT 2787-D,ORLANDO,FL,32805,10/10/2022
01/05/2023,"$238,847.51",5319 FORZLEY ST,ORLANDO,FL,32812,10/10/2022
01/05/2023,"$529,907.27",1160 OAKWATER DR,ROYAL PALM BEACH,FL,33411,10/10/2022
01/05/2023,"$127,882.17",1823 59TH WAY N,ST PETERSBURG,FL,33710,09/20/2022
01/05/2023,"$198,257.19",12351 PERSIMMON BLVD,WEST PALM BEACH,FL,33411,10/10/2022
01/05/2023,"$228,004.22",5319 ASHLEY RIVER RD,WEST PALM BEACH,FL,33417,10/10/2022
01/05/2023,"$29,434.84",86120 CARTESIAN POINTE DR,YULEE,FL,32097,05/18/2022
01/06/2023,"$84,793.04",49 GENERAL DOOLITTLE RD,DAYTONA BEACH,FL,32124,10/13/2022
01/06/2023,"$21,395.69",6117 BONNIE BROOK BLVD,ORLANDO,FL,32809,10/10/2022
01/06/2023,"$62,381.40",134 HAND AVENUE,ORMOND BEACH,FL,32174,06/16/2022
01/06/2023,"$164,343.88",1829 AFSHIN CT,PORT ORANGE,FL,32128,10/13/2022
01/06/2023,"$99,122.09",530 BROOK CIR,SOUTH DAYTONA,FL,32119,10/10/2022
01/09/2023,"$184,575.04",1560 CINNAMON BEAR CIR,TALLAHASSEE,FL,32311,10/13/2022
01/10/2023,"$749,360.21",931 NOLA DR,OCOEE,FL,34761,10/10/2022
01/10/2023,"$416,294.78",2718 OSPREY CREEK LN,ORLANDO,FL,32825,10/10/2022
01/10/2023,"$59,842.52",3899 BONWAY DR,PENSACOLA,FL,32504,08/18/2022
01/10/2023,"$72,994.08",913 KRASNOSKY,PENSACOLA,FL,32505,10/10/2022
01/10/2023,"$170,633.45",7551 NORTHPOINTE BLVD,PENSACOLA,FL,32514,10/10/2022
01/10/2023,"$128,308.61",5822 SWORDFISH CT,TAMARAC,FL,33319,10/10/2022
01/11/2023,"$283,543.87",26109 82ND AVE E,MYAKKA CITY,FL,34251,08/13/2022
