auction_date,opening_bid,address,city,state,zip,date_added
,"$4,446.37",1020 MARTIN LUTHER KING JR BLV,GREEN COVE SPRINGS,FL,32043,09/24/2022
,"$4,674.95",WALBURG ST,GREEN COVE SPRINGS,FL,32043,09/24/2022
,"$1,623.63",413 PINE AVE,GREEN COVE SPRINGS,FL,32043-2412,10/22/2022
,"$1,706.45",7193 PEMBROKE ST,KEYSTONE HEIGHTS,FL,32656,09/24/2022
,"$3,540.95",5786 BRYCE ST,KEYSTONE HEIGHTS,FL,32656,09/24/2022
,"$2,194.67",7153 WHEATON ST,KEYSTONE HEIGHTS,FL,32656,09/24/2022
,"$6,916.16",4340 BONDAREKO RD,KEYSTONE HEIGHTS,FL,32656,09/24/2022
,"$3,014.38",2730 SCULLY RD,MIDDLEBURG,FL,32068,09/24/2022
,"$8,032.09",FALCON RUN LN,MIDDLEBURG,FL,32068,09/24/2022
,"$4,389.95",FALCON RUN LN,MIDDLEBURG,FL,32068,09/24/2022
01/05/2023,"$45,673.04",1705 CLEMENT RD,LUTZ,FL,33549,10/29/2022
01/05/2023,"$6,634.05",8437 FANTASIA PARK WAY,RIVERVIEW,FL,33578,10/29/2022
01/05/2023,"$55,849.38",1149 MCDANIEL ST,SUN CITY CENTER,FL,33573,10/29/2022
01/05/2023,"$64,484.82",2110 W HILLSBOROUGH AVE,TAMPA,FL,33603,10/29/2022
01/05/2023,"$6,710.79",6002 N 49TH ST,TAMPA,FL,33610,10/29/2022
01/05/2023,"$4,564.45",5502 LENOX DR,TAMPA,FL,33610,10/29/2022
01/05/2023,"$15,799.72",208 W BOUGAINVILLEA AVE,TAMPA,FL,33612,10/29/2022
01/05/2023,"$6,772.84",2720 N 66TH ST,TAMPA,FL,33619,10/29/2022
01/05/2023,"$113,764.90",9821 BAYBORO BRIDGE DR,TAMPA,FL,33626,10/29/2022
01/05/2023,"$13,390.47",8218 NATCHEZ ST,TAMPA,FL,33637,10/29/2022
01/05/2023,"$6,416.15",10511 VILLA VIEW CIR,TAMPA,FL,33647,10/29/2022
01/05/2023,"$12,523.98",2535 RIDGETOP WAY,VALRICO,FL,33594,10/29/2022
01/09/2023,"$5,938.82",416 FRONT ST 32535,CENTURY,FL,32535,10/04/2022
01/09/2023,"$2,044.53",917 W SCOTT ST 32501,PENSACOLA,FL,32501,10/04/2022
01/09/2023,"$4,365.26",2118 ST MARY ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$3,828.82",3026 N Q ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$7,661.95",2909 W LEE ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$4,864.45",1704 GARY AVE 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$3,356.26",3706 W LEE ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$5,363.05",1704 N GREEN ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$3,538.11",3002 W MALLORY ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$37,766.16",3110 W JACKSON ST 32505,PENSACOLA,FL,32505,10/04/2022
01/09/2023,"$30,486.06",823 N 48TH AVE 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$3,978.94",308 N TYSON ST 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$3,344.26",7800 LILLIAN HWY 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$5,728.18",419 N 72ND AVE 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$5,629.90",10200 AILERON AVE 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$71,222.49",2028 CORAL CREEK DR 32506,PENSACOLA,FL,32506,10/04/2022
01/09/2023,"$3,314.83",4466 DUNAWAY LN 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$9,244.57",3300 DUNAWAY RD 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$88,259.96",3360 FRIDINGER DR 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$5,785.09",BLK MAYWOOD AVE 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$4,171.45",5801 N BLUE ANGEL PKWY 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$21,662.78",5612 TURKEY RD 32526,PENSACOLA,FL,32526,10/04/2022
01/09/2023,"$4,375.32",521 FRISCO RD 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$3,617.85",5 DEWITT DR 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$5,892.77",3470 BARRANCAS AVE 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$4,067.07",15 PARK DR 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$4,917.54",501 S 1ST ST 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$33,039.83",215 HERMEY AVE 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$6,350.01",8715 GULF BEACH HWY 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$4,448.30",2430 SONORA CALZADA 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$3,278.97",3207 GRAUPERA ST 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$22,474.85",1036 MILLS AVE 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$3,255.14",712 MILLS AVE 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$5,867.87",13700 PERDIDO KEY DR C-140 325,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$58,167.70",1216 PARASOL PL 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$8,257.65",13351 JOHNSON BEACH RD 209E 32,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$18,747.11",16284 PERDIDO KEY DR 511 32507,PERDIDO KEY,FL,32507,10/04/2022
01/09/2023,"$3,536.62",17200 BLK PERDIDO KEY DR 32507,PERDIDO KEY,FL,32507,10/04/2022
02/06/2023,"$3,763.21",437 LAKEVIEW AVE 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$3,660.02",510 WASHINGTON ST 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$2,632.13",PINEBROOK CIR 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$2,264.41",PINEBROOK CIR 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$4,225.13",3510 E CHIPPER RD 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$3,697.61",1780 PERDIDO LAKE LN 32533,CANTONMENT,FL,32533,11/03/2022
02/06/2023,"$2,958.65",4331 CRARY RD 32535,CENTURY,FL,32535,11/03/2022
02/06/2023,"$2,118.20",6900 BLK MORTON RD 32535,CENTURY,FL,32535,11/03/2022
02/06/2023,"$2,076.36",STATE RD 4 32535,CENTURY,FL,32535,11/03/2022
02/06/2023,"$1,858.68",1200 BET RAINES RD 32577,MOLINO,FL,32577,11/03/2022
02/06/2023,"$34,214.42",8586 GIBSON RD 32577,MOLINO,FL,32577,11/03/2022
02/06/2023,"$2,213.17",700 W JORDAN ST 32501,PENSACOLA,FL,32501,11/03/2022
02/06/2023,"$19,300.64",215 W GADSDEN ST 32501,PENSACOLA,FL,32501,11/03/2022
02/06/2023,"$10,991.43",822 E LA RUA ST 32501,PENSACOLA,FL,32501,11/03/2022
02/06/2023,"$14,393.98",1918 W CERVANTES ST 32501,PENSACOLA,FL,32501,11/03/2022
02/06/2023,"$4,088.74",1003 N M ST 32501,PENSACOLA,FL,32501,11/03/2022
02/06/2023,"$2,973.68",230 S C ST 32502,PENSACOLA,FL,32502,11/03/2022
02/06/2023,"$6,592.57",6679 WESTMONT ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$17,059.05",6680 WESTMONT ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$8,529.44",2609 N TARRAGONA ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$6,232.76",2011 DR MARTIN LUTHER KING JR,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$3,806.00",2612 N TARRAGONA ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$3,815.92",209 E YONGE ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$5,186.78",2403 N 7TH AVE 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$14,292.82",1621 N 16TH AVE 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$8,634.90",913 E CROSS ST 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$9,930.53",2906 N DAVIS HWY 32503,PENSACOLA,FL,32503,11/03/2022
02/06/2023,"$1,933.12",5000 BLK MOBILE HWY 32505,PENSACOLA,FL,32505,11/03/2022
02/06/2023,"$2,805.84",325 MASSACHUSETTS AVE B 32505,PENSACOLA,FL,32505,11/03/2022
02/06/2023,"$16,996.34",2303 W BOBE ST 32505,PENSACOLA,FL,32505,11/03/2022
02/06/2023,"$6,063.56",2120 W WRIGHT ST 32505,PENSACOLA,FL,32505,11/03/2022
02/06/2023,"$2,633.28",2500 W CERVANTES ST 32505,PENSACOLA,FL,32505,11/03/2022
02/06/2023,"$2,790.39",52ND AVE 32506,PENSACOLA,FL,32506,11/03/2022
02/06/2023,"$2,190.37",2 BETH CIR 32506,PENSACOLA,FL,32506,11/03/2022
02/06/2023,"$1,919.96",4415 IDLEWOOD DR 32506,PENSACOLA,FL,32506,11/03/2022
02/06/2023,"$16,202.58",7814 LILLIAN HWY 32506,PENSACOLA,FL,32506,11/03/2022
02/06/2023,"$25,053.98",627 SALEM DR 32514,PENSACOLA,FL,32514,11/03/2022
02/06/2023,"$2,059.72",841 DONS LN 32514,PENSACOLA,FL,32514,11/03/2022
02/06/2023,"$1,933.12",MOBILE HWY 32526,PENSACOLA,FL,32526,11/03/2022
02/06/2023,"$2,479.73",1854 INTERSTATE CIR 32526,PENSACOLA,FL,32526,11/03/2022
02/06/2023,"$3,192.94",OFF NINE MILE RD 32526,PENSACOLA,FL,32526,11/03/2022
02/06/2023,"$2,225.33",721 N BLUE ANGEL LN 32526,PENSACOLA,FL,32526,11/03/2022
02/06/2023,"$3,231.50",7624 FAITH DR 32534,PENSACOLA,FL,32534,11/03/2022
02/06/2023,"$4,530.61",1027 S OLD CORRY FIELD RD 3250,PERDIDO KEY,FL,32507,11/03/2022
02/06/2023,"$2,866.85",105 S NEW WARRINGTON RD 32507,PERDIDO KEY,FL,32507,11/03/2022
02/06/2023,"$2,908.60",8512 SAN JUAN CALZADA 32507,PERDIDO KEY,FL,32507,11/03/2022
02/06/2023,"$1,542.65",1017 BREMEN AVE 32507,PERDIDO KEY,FL,32507,11/03/2022
02/06/2023,"$3,310.02",5504 AVON RD 32507,PERDIDO KEY,FL,32507,11/03/2022
02/06/2023,"$3,974.97",2700 BLK VICTOR RD 32568,WALNUT HILL,FL,32568,11/03/2022
02/06/2023,"$3,939.67",2451 GREEN VILLAGE RD 32568,WALNUT HILL,FL,32568,11/03/2022
02/06/2023,"$1,468.17",8079 PINE FOREST RD 32568,WALNUT HILL,FL,32568,11/03/2022
